Model,MAE,RMSE,R2
Ridge Regression,4.516259880604661,10.027116579348819,0.11089192242504187
Gradient Boosting,4.8093819087485405,10.391654754093071,0.04506932020593479
VAR,3.3258084236268557,5.52921092467609,0.45132833743994394
