NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count,pm25_lag1,pm25_lag2,pm25_rolling3,days_above_lag1,month_sin,month_cos,next_month_pm25,label_next_month_pm25
Alameda,2015,2,10.360743771300449,26.708333,5.384689613247045,0,223,19.21207196370968,,19.21207196370968,8.0,0.8660254037844386,0.5000000000000001,8.980110459227468,0
Alameda,2015,3,8.980110459227468,20.26087,3.2775808754422004,0,233,10.360743771300449,19.21207196370968,14.786407867505064,0.0,1.0,6.123233995736766e-17,7.926694165919282,0
Alameda,2015,4,7.926694165919282,16.916667,3.477618567459905,0,223,8.980110459227468,10.360743771300449,12.8509753980792,0.0,0.8660254037844387,-0.49999999999999983,7.39500616532258,0
Alameda,2015,5,7.39500616532258,15.26087,3.1220733818256545,0,248,7.926694165919282,8.980110459227468,9.089182798815733,0.0,0.49999999999999994,-0.8660254037844387,9.257430561403508,0
Alameda,2015,6,9.257430561403508,18.375,3.83373021474969,0,228,7.39500616532258,7.926694165919282,8.100603596823111,0.0,1.2246467991473532e-16,-1.0,5.991522789473684,0
Alameda,2015,7,5.991522789473684,16.478261,2.6219779983921545,0,247,9.257430561403508,7.39500616532258,8.19304363088179,0.0,-0.4999999999999998,-0.8660254037844388,9.99693338271605,0
Alameda,2015,8,9.99693338271605,44.791667,7.933150199054571,2,243,5.991522789473684,9.257430561403508,7.5479865053999236,0.0,-0.8660254037844384,-0.5000000000000004,7.9411944,0
Alameda,2015,9,7.9411944,15.583333,2.7462315835047866,0,240,9.99693338271605,5.991522789473684,8.415295577864415,2.0,-1.0,-1.8369701987210297e-16,7.80623233467742,0
Alameda,2015,10,7.80623233467742,14.875,3.2969738458348163,0,248,7.9411944,9.99693338271605,7.976550190729911,0.0,-0.8660254037844386,0.5000000000000001,8.451312213043478,0
Alameda,2015,11,8.451312213043478,23.875,4.466136647663343,0,230,7.80623233467742,7.9411944,8.58145337246449,0.0,-0.5000000000000004,0.8660254037844384,8.238377489878543,0
