NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count
Alameda,2015,1,19.21207196370968,38.75,7.841203472122002,8,248
Alameda,2015,2,10.360743771300449,26.708333,5.384689613247045,0,223
Alameda,2015,3,8.980110459227468,20.26087,3.2775808754422004,0,233
Alameda,2015,4,7.926694165919282,16.916667,3.477618567459905,0,223
Alameda,2015,5,7.39500616532258,15.26087,3.1220733818256545,0,248
Alameda,2015,6,9.257430561403508,18.375,3.83373021474969,0,228
Alameda,2015,7,5.991522789473684,16.478261,2.6219779983921545,0,247
Alameda,2015,8,9.99693338271605,44.791667,7.933150199054571,2,243
Alameda,2015,9,7.9411944,15.583333,2.7462315835047866,0,240
Alameda,2015,10,7.80623233467742,14.875,3.2969738458348163,0,248
Alameda,2015,11,8.451312213043478,23.875,4.466136647663343,0,230
Alameda,2015,12,8.238377489878543,21.125,4.053787817355898,0,247
Alameda,2016,1,7.957035359649123,22.375,4.086733980477744,0,228
Alameda,2016,2,9.464466193965517,21.956522,4.372386404652159,0,232
Alameda,2016,3,5.827590286290323,12.375,2.5154680685860535,0,248
Alameda,2016,4,7.090990829166667,16.916667,3.0416217077448118,0,240
Alameda,2016,5,7.895722630081301,19.0,4.033713420083752,0,246
Alameda,2016,6,8.465073433333334,18.26087,3.8988560860851504,0,240
Alameda,2016,7,6.8502323441558435,17.478261,3.642713936365138,0,308
Alameda,2016,8,6.658694235099338,13.608696,2.3871857595192307,0,302
Alameda,2016,9,10.156837110204082,19.666667,2.836533220402797,0,245
Alameda,2016,10,5.508600321192053,10.208333,2.052491305892803,0,302
Alameda,2016,11,7.88770343,16.458333,3.361070323215959,0,300
Alameda,2016,12,9.195122407942238,23.916667,4.576851236511453,0,277
Alameda,2017,1,9.08034599661017,28.291667,6.1931978243176475,0,295
Alameda,2017,2,6.285680423357664,29.043478,4.819758998519576,0,274
Alameda,2017,3,6.697648781758957,15.833333,2.8181656964731148,0,307
Alameda,2017,4,6.78465239261745,15.625,2.9920495366702213,0,298
Alameda,2017,5,8.053697503311257,22.8,4.071632726459768,0,302
Alameda,2017,6,8.220448066666666,20.208333,4.343041750337604,0,300
Alameda,2017,7,9.424833686468647,19.916667,3.7131084777086634,0,303
Alameda,2017,8,10.995213326797385,25.833333,4.319490090230147,0,306
Alameda,2017,9,14.347013166666665,56.083333,12.121316057816255,28,300
Alameda,2017,10,16.198726055194804,70.875,13.272832177650923,24,308
Alameda,2017,11,9.269210580000001,24.208333,4.747799707622812,0,300
Alameda,2017,12,18.01576432686084,44.208333,8.752324395201983,11,309
Alameda,2018,1,14.03310618446602,39.086957,7.785696926208567,6,309
Alameda,2018,2,9.355391356115108,32.833333,5.204251946466151,0,278
Alameda,2018,3,7.716583762987012,18.541667,3.7410404149132477,0,308
Alameda,2018,4,9.13077345480226,19.625,4.080650316281647,0,354
Alameda,2018,5,8.147555862903227,22.521739,4.088336270366858,0,372
Alameda,2018,6,10.487333353932584,28.35,3.708197367544344,0,356
Alameda,2018,7,8.361539460916442,21.208333,3.127067970928178,0,371
Alameda,2018,8,14.326300564864864,48.416667,8.59545613038088,12,370
Alameda,2018,9,11.480326605555554,23.916667,4.785436407237046,0,360
Alameda,2018,10,8.742718505747126,21.291667,4.231213821965403,0,348
Alameda,2018,11,44.02833272413793,172.666667,47.63716527793236,144,348
Alameda,2018,12,8.919109695652173,25.625,5.250099254868993,0,368
Alameda,2019,1,9.089432983870967,29.333333,5.609311274432413,0,372
Alameda,2019,2,4.2776680625,9.875,2.011016583248359,0,336
Alameda,2019,3,5.280086203252033,15.130435,2.7179253339939926,0,369
Alameda,2019,4,7.271800854651163,18.583333,4.413728013292405,0,344
Alameda,2019,5,6.348074232432433,15.5,3.131030680042395,0,370
Alameda,2019,6,8.180202761111111,18.958333,3.6492323690433475,0,360
Alameda,2019,7,7.773801350404312,19.458333,2.9875848684603072,0,371
Alameda,2019,8,6.7756915164835165,19.416667,3.3605761694732474,0,364
Alameda,2019,9,6.27983048502994,13.909091,2.7956539742354147,0,334
Alameda,2019,10,8.711593153424658,28.791667,3.9127082506995587,0,365
Alameda,2019,11,11.461391538888888,26.083333,5.064916842942943,0,360
Alameda,2019,12,6.485112193820225,18.045455,3.2921689591600027,0,356
Alameda,2020,1,7.3567974623655905,23.181818,3.394294041114649,0,372
Alameda,2020,2,8.690519349854227,19.083333,3.8582155247895966,0,343
Alameda,2020,3,5.131800807692308,14.208333,2.957323898961938,0,364
Alameda,2020,4,5.309871283333333,13.26087,2.562190351086395,0,360
Alameda,2020,5,5.88927785326087,15.041667,3.1908514538722357,0,368
Alameda,2020,6,6.815876627777778,18.043478,3.4473083326916987,0,360
Alameda,2020,7,7.6024357388888895,41.125,4.988606875792665,2,360
Alameda,2020,8,16.74372567385445,99.916667,16.102017846706474,36,371
Alameda,2020,9,32.005523815126054,167.708333,38.970137221145436,72,357
Alameda,2020,10,14.731446566395663,103.958333,14.489455100916196,25,369
