Model,MAE,RMSE,R2,Accuracy,F1_class1,Spike_Recall,Spike_Precision,Spike_F1,Missed_Warnings,False_Alarms,True_Caught,Total_Dangerous
Random Forest,4.412444766411705,9.961654263020433,0.07013644711642397,0.7975402081362346,0.49528301886792453,0.0,0.0,0.0,26,0,0,26
XGBoost,4.231256043744076,9.86438454544049,0.08820693602498997,0.7918637653736992,0.5089285714285714,0.0,0.0,0.0,26,0,0,26
LSTM,4.6986402489951296,10.298981440160272,0.008342042372112668,0.7438330170777988,0.23295454545454544,0.0,0.0,0.0,26,1,0,26
