Model,MAE,RMSE,R2,Accuracy,F1_class1
Random Forest,4.412444766411705,9.961654263020433,0.07013644711642397,0.7975402081362346,0.49528301886792453
XGBoost,4.231256043744076,9.86438454544049,0.08820693602498997,0.7918637653736992,0.5089285714285714
LSTM,4.634836910052294,10.341216847995897,0.0001919241656176407,0.7447817836812144,0.18731117824773413
