Model,MAE,RMSE,R2,Spike_Precision,Spike_Recall,Spike_F1,Missed_Warnings
Baseline XGBoost,4.231,9.864,0.088,0.0,0.0,0.0,26
WWTR (custom),4.448,9.961,0.07,0.0,0.0,0.0,26
