NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3,county_id,event_date,row_id
Alameda,2018,2,12,0.8275,14.0,0.0,1.0,7.0,0.64,0.8660254037844386,0.5000000000000001,6.666666666666667,0,2018-02-01,34
Alameda,2018,3,14,0.5342857142857144,11.0,0.0,12.0,1.0,0.8275,1.0,6.123233995736766e-17,9.0,0,2018-03-01,35
Alameda,2018,4,11,0.6354545454545455,17.0,0.0,14.0,12.0,0.5342857142857144,0.8660254037844387,-0.4999999999999998,12.333333333333334,0,2018-04-01,36
Alameda,2018,5,17,9.26764705882353,13.0,0.0,11.0,14.0,0.6354545454545455,0.4999999999999999,-0.8660254037844387,14.0,0,2018-05-01,37
Alameda,2018,6,13,0.4123076923076923,28.0,0.0,17.0,11.0,9.26764705882353,1.2246467991473532e-16,-1.0,13.666666666666666,0,2018-06-01,38
Alameda,2018,7,28,1.9639285714285717,20.0,0.0,13.0,17.0,0.4123076923076923,-0.4999999999999998,-0.8660254037844388,19.333333333333332,0,2018-07-01,39
Alameda,2018,8,20,0.4445,29.0,0.0,28.0,13.0,1.9639285714285717,-0.8660254037844384,-0.5000000000000004,20.333333333333332,0,2018-08-01,40
Alameda,2018,9,29,0.8124137931034482,26.0,0.0,20.0,28.0,0.4445,-1.0,-1.8369701987210294e-16,25.666666666666668,0,2018-09-01,41
Alameda,2018,10,26,0.5123076923076924,10.0,0.0,29.0,20.0,0.8124137931034482,-0.8660254037844386,0.5000000000000001,25.0,0,2018-10-01,42
Alameda,2018,11,10,0.45,3.0,0.0,26.0,29.0,0.5123076923076924,-0.5000000000000004,0.8660254037844384,21.666666666666668,0,2018-11-01,43
Alameda,2018,12,3,0.43,7.0,0.0,10.0,26.0,0.45,-2.4492935982947064e-16,1.0,13.0,0,2018-12-01,44
Alameda,2019,1,7,2.5271428571428567,4.0,0.0,3.0,10.0,0.43,0.4999999999999999,0.8660254037844387,6.666666666666667,0,2019-01-01,45
Alameda,2019,2,4,0.4775,6.0,0.0,7.0,3.0,2.5271428571428567,0.8660254037844386,0.5000000000000001,4.666666666666667,0,2019-02-01,46
Alameda,2019,3,6,0.5216666666666666,10.0,0.0,4.0,7.0,0.4775,1.0,6.123233995736766e-17,5.666666666666667,0,2019-03-01,47
Alameda,2019,4,10,0.641,6.0,0.0,6.0,4.0,0.5216666666666666,0.8660254037844387,-0.4999999999999998,6.666666666666667,0,2019-04-01,48
Alameda,2019,5,6,0.3816666666666666,17.0,0.0,10.0,6.0,0.641,0.4999999999999999,-0.8660254037844387,7.333333333333333,0,2019-05-01,49
Alameda,2019,6,17,3.385294117647059,20.0,0.0,6.0,10.0,0.3816666666666666,1.2246467991473532e-16,-1.0,11.0,0,2019-06-01,50
Alameda,2019,7,20,3.5375,19.0,0.0,17.0,6.0,3.385294117647059,-0.4999999999999998,-0.8660254037844388,14.333333333333334,0,2019-07-01,51
Alameda,2019,8,19,24.968421052631577,21.0,0.0,20.0,17.0,3.5375,-0.8660254037844384,-0.5000000000000004,18.666666666666668,0,2019-08-01,52
Alameda,2019,9,21,0.7028571428571428,21.0,0.0,19.0,20.0,24.968421052631577,-1.0,-1.8369701987210294e-16,20.0,0,2019-09-01,53
Alameda,2019,10,21,1.7014285714285713,3.0,0.0,21.0,19.0,0.7028571428571428,-0.8660254037844386,0.5000000000000001,20.333333333333332,0,2019-10-01,54
Alameda,2019,11,3,0.4033333333333333,3.0,0.0,21.0,21.0,1.7014285714285713,-0.5000000000000004,0.8660254037844384,15.0,0,2019-11-01,55
Alameda,2020,1,3,0.6133333333333333,5.0,,3.0,21.0,0.4033333333333333,0.4999999999999999,0.8660254037844387,9.0,0,2020-01-01,56
Alameda,2020,2,5,0.532,3.0,,3.0,3.0,0.6133333333333333,0.8660254037844386,0.5000000000000001,3.6666666666666665,0,2020-02-01,57
Alameda,2020,3,3,0.6966666666666667,10.0,,5.0,3.0,0.532,1.0,6.123233995736766e-17,3.6666666666666665,0,2020-03-01,58
Alameda,2020,4,10,15.771999999999997,8.0,,3.0,5.0,0.6966666666666667,0.8660254037844387,-0.4999999999999998,6.0,0,2020-04-01,59
