county_id,year,month,fire_count,avg_frp,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3,label_next_month
0,2015,3,11,0.921818181818182,6.0,8.0,0.455,1.0,6.123233995736766e-17,8.333333333333334,0
0,2015,4,12,0.6108333333333333,11.0,6.0,0.921818181818182,0.8660254037844387,-0.4999999999999998,9.666666666666666,0
0,2015,5,10,12.705,12.0,11.0,0.6108333333333333,0.4999999999999999,-0.8660254037844387,11.0,0
0,2015,6,9,0.4455555555555555,10.0,12.0,12.705,1.2246467991473532e-16,-1.0,10.333333333333334,0
0,2015,7,10,15.398,9.0,10.0,0.4455555555555555,-0.4999999999999998,-0.8660254037844388,9.666666666666666,0
0,2015,8,36,2.1683333333333334,10.0,9.0,15.398,-0.8660254037844384,-0.5000000000000004,18.333333333333332,0
0,2015,9,12,0.41,36.0,10.0,2.1683333333333334,-1.0,-1.8369701987210294e-16,19.333333333333332,0
0,2015,10,9,0.5055555555555555,12.0,36.0,0.41,-0.8660254037844386,0.5000000000000001,19.0,0
0,2015,11,7,2.2114285714285713,9.0,12.0,0.5055555555555555,-0.5000000000000004,0.8660254037844384,9.333333333333334,0
0,2015,12,3,0.68,7.0,9.0,2.2114285714285713,-2.4492935982947064e-16,1.0,6.333333333333333,0
0,2016,2,6,0.6016666666666667,3.0,7.0,0.68,0.8660254037844386,0.5000000000000001,5.333333333333333,0
0,2016,3,6,1.3133333333333332,6.0,3.0,0.6016666666666667,1.0,6.123233995736766e-17,5.0,0
0,2016,4,5,0.5740000000000001,6.0,6.0,1.3133333333333332,0.8660254037844387,-0.4999999999999998,5.666666666666667,0
0,2016,5,3,0.52,5.0,6.0,0.5740000000000001,0.4999999999999999,-0.8660254037844387,4.666666666666667,0
0,2016,6,15,1.5306666666666666,3.0,5.0,0.52,1.2246467991473532e-16,-1.0,7.666666666666667,0
0,2016,7,22,5.954090909090908,15.0,3.0,1.5306666666666666,-0.4999999999999998,-0.8660254037844388,13.333333333333334,0
0,2016,8,9,0.5022222222222221,22.0,15.0,5.954090909090908,-0.8660254037844384,-0.5000000000000004,15.333333333333334,0
0,2016,9,14,0.5042857142857143,9.0,22.0,0.5022222222222221,-1.0,-1.8369701987210294e-16,15.0,0
0,2016,10,8,0.6174999999999999,14.0,9.0,0.5042857142857143,-0.8660254037844386,0.5000000000000001,10.333333333333334,0
0,2016,11,5,0.678,8.0,14.0,0.6174999999999999,-0.5000000000000004,0.8660254037844384,9.0,0
0,2016,12,4,0.7125,5.0,8.0,0.678,-2.4492935982947064e-16,1.0,5.666666666666667,0
0,2017,1,2,0.505,4.0,5.0,0.7125,0.4999999999999999,0.8660254037844387,3.6666666666666665,0
