NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3
Butte,2016,10,15,4.862666666666667,23.0,0,52.0,22.0,6.533461538461538,-0.8660254037844386,0.5000000000000001,29.666666666666668
Butte,2016,11,23,7.6378260869565215,1.0,0,15.0,52.0,4.862666666666667,-0.5000000000000004,0.8660254037844384,30.0
Butte,2016,12,1,2.07,3.0,0,23.0,15.0,7.6378260869565215,-2.4492935982947064e-16,1.0,13.0
Butte,2017,3,3,0.6733333333333333,10.0,0,1.0,23.0,2.07,1.0,6.123233995736766e-17,9.0
Butte,2017,4,10,7.462000000000001,23.0,0,3.0,1.0,0.6733333333333333,0.8660254037844387,-0.49999999999999983,4.666666666666667
Butte,2017,5,23,11.33304347826087,8.0,0,10.0,3.0,7.462000000000001,0.49999999999999994,-0.8660254037844387,12.0
Butte,2017,6,8,4.75,234.0,1,23.0,10.0,11.33304347826087,1.2246467991473532e-16,-1.0,13.666666666666666
Butte,2017,7,234,7.844358974358974,217.0,1,8.0,23.0,4.75,-0.4999999999999998,-0.8660254037844388,88.33333333333333
Butte,2017,8,217,15.583410138248848,92.0,1,234.0,8.0,7.844358974358974,-0.8660254037844384,-0.5000000000000004,153.0
Butte,2017,9,92,8.199021739130433,302.0,1,217.0,234.0,15.583410138248848,-1.0,-1.8369701987210297e-16,181.0
Butte,2017,10,302,9.122582781456954,22.0,0,92.0,217.0,8.199021739130433,-0.8660254037844386,0.5000000000000001,203.66666666666666
Butte,2017,11,22,4.245909090909091,8.0,0,302.0,92.0,9.122582781456954,-0.5000000000000004,0.8660254037844384,138.66666666666666
Butte,2017,12,8,2.3375,8.0,0,22.0,302.0,4.245909090909091,-2.4492935982947064e-16,1.0,110.66666666666667
Butte,2018,1,8,2.58,42.0,0,8.0,22.0,2.3375,0.49999999999999994,0.8660254037844387,12.666666666666666
