feature,importance
pm25_lag2,0.19542235821565992
pm25_lag1,0.15728342311379542
month_sin,0.15125343900980437
pm25_rolling3,0.09194422945306904
avg_frp_lag0,0.07407033989525177
frp_last_1,0.069078883858974
month_cos,0.06730574485018186
fire_count_lag0,0.05790859650452636
fire_last_2,0.04693043432371292
fire_rolling_3,0.03738442444844834
fire_last_1,0.035299213227271996
label_next_month,0.016118913099303963
