NAME,year,month,avg_pm25,next_month_pm25,label_next_month_pm25,pm25_lag1,pm25_lag2,pm25_rolling3,month_sin,month_cos,fire_count,avg_frp,fire_last_1,fire_last_2,frp_last_1,fire_rolling_3,label_next_month
Alameda,2015,3,8.980110459227468,7.926694165919282,0,10.360743771300449,19.21207196370968,14.786407867505064,1.0,6.123233995736766e-17,11,0.921818181818182,6.0,8.0,0.455,8.333333333333334,0
Alameda,2015,4,7.926694165919282,7.39500616532258,0,8.980110459227468,10.360743771300449,12.8509753980792,0.8660254037844387,-0.4999999999999998,12,0.6108333333333333,11.0,6.0,0.921818181818182,9.666666666666666,0
Alameda,2015,5,7.39500616532258,9.257430561403508,0,7.926694165919282,8.980110459227468,9.089182798815733,0.4999999999999999,-0.8660254037844387,10,12.705,12.0,11.0,0.6108333333333333,11.0,0
Alameda,2015,6,9.257430561403508,5.991522789473684,0,7.39500616532258,7.926694165919282,8.100603596823111,1.2246467991473532e-16,-1.0,9,0.4455555555555555,10.0,12.0,12.705,10.333333333333334,0
Alameda,2015,7,5.991522789473684,9.99693338271605,0,9.257430561403508,7.39500616532258,8.19304363088179,-0.4999999999999998,-0.8660254037844388,10,15.398,9.0,10.0,0.4455555555555555,9.666666666666666,0
Alameda,2015,8,9.99693338271605,7.9411944,0,5.991522789473684,9.257430561403508,7.5479865053999236,-0.8660254037844384,-0.5000000000000004,36,2.1683333333333334,10.0,9.0,15.398,18.333333333333332,0
Alameda,2015,9,7.9411944,7.80623233467742,0,9.99693338271605,5.991522789473684,8.415295577864415,-1.0,-1.8369701987210294e-16,12,0.41,36.0,10.0,2.1683333333333334,19.333333333333332,0
Alameda,2015,10,7.80623233467742,8.451312213043478,0,7.9411944,9.99693338271605,7.976550190729911,-0.8660254037844386,0.5000000000000001,9,0.5055555555555555,12.0,36.0,0.41,19.0,0
Alameda,2015,11,8.451312213043478,8.238377489878543,0,7.80623233467742,7.9411944,8.58145337246449,-0.5000000000000004,0.8660254037844384,7,2.2114285714285713,9.0,12.0,0.5055555555555555,9.333333333333334,0
Alameda,2015,12,8.238377489878543,7.957035359649123,0,8.451312213043478,7.80623233467742,8.066246315906966,-2.4492935982947064e-16,1.0,3,0.68,7.0,9.0,2.2114285714285713,6.333333333333333,0
Alameda,2016,2,9.464466193965515,5.827590286290323,0,7.957035359649123,8.238377489878543,8.215575020857047,0.8660254037844386,0.5000000000000001,6,0.6016666666666667,3.0,7.0,0.68,5.333333333333333,0
Alameda,2016,3,5.827590286290323,7.090990829166667,0,9.464466193965515,7.957035359649123,8.553293014497727,1.0,6.123233995736766e-17,6,1.3133333333333332,6.0,3.0,0.6016666666666667,5.0,0
Alameda,2016,4,7.090990829166667,7.895722630081301,0,5.827590286290323,9.464466193965515,7.749697279968321,0.8660254037844387,-0.4999999999999998,5,0.5740000000000001,6.0,6.0,1.3133333333333332,5.666666666666667,0
Alameda,2016,5,7.895722630081301,8.465073433333334,0,7.090990829166667,5.827590286290323,7.4610157698075,0.4999999999999999,-0.8660254037844387,3,0.52,5.0,6.0,0.5740000000000001,4.666666666666667,0
Alameda,2016,6,8.465073433333334,6.8502323441558435,0,7.895722630081301,7.090990829166667,6.938101248512763,1.2246467991473532e-16,-1.0,15,1.5306666666666666,3.0,5.0,0.52,7.666666666666667,0
Alameda,2016,7,6.8502323441558435,6.658694235099338,0,8.465073433333334,7.895722630081301,7.8172622975271,-0.4999999999999998,-0.8660254037844388,22,5.954090909090908,15.0,3.0,1.5306666666666666,13.333333333333334,0
Alameda,2016,8,6.658694235099338,10.156837110204082,0,6.8502323441558435,8.465073433333334,7.737009469190158,-0.8660254037844384,-0.5000000000000004,9,0.5022222222222221,22.0,15.0,5.954090909090908,15.333333333333334,0
Alameda,2016,9,10.156837110204082,5.508600321192053,0,6.658694235099338,6.8502323441558435,7.324666670862839,-1.0,-1.8369701987210294e-16,14,0.5042857142857143,9.0,22.0,0.5022222222222221,15.0,0
Alameda,2016,10,5.508600321192053,7.88770343,0,10.156837110204082,6.658694235099338,7.8885878964864204,-0.8660254037844386,0.5000000000000001,8,0.6174999999999999,14.0,9.0,0.5042857142857143,10.333333333333334,0
Alameda,2016,11,7.88770343,9.195122407942238,0,5.508600321192053,10.156837110204082,7.441377222165158,-0.5000000000000004,0.8660254037844384,5,0.678,8.0,14.0,0.6174999999999999,9.0,0
Alameda,2016,12,9.195122407942238,9.08034599661017,0,7.88770343,5.508600321192053,7.851046953798711,-2.4492935982947064e-16,1.0,4,0.7125,5.0,8.0,0.678,5.666666666666667,0
Alameda,2017,1,9.08034599661017,6.285680423357664,0,9.195122407942238,7.88770343,7.5304753863780975,0.4999999999999999,0.8660254037844387,2,0.505,4.0,5.0,0.7125,3.6666666666666665,0
Alameda,2017,2,6.285680423357664,6.697648781758957,0,9.08034599661017,9.195122407942238,8.721057278184135,0.8660254037844386,0.5000000000000001,3,0.6233333333333334,2.0,4.0,0.505,3.0,0
Alameda,2017,3,6.697648781758957,6.78465239261745,0,6.285680423357664,9.08034599661017,8.187049609303356,1.0,6.123233995736766e-17,11,0.5181818181818182,3.0,2.0,0.6233333333333334,5.333333333333333,0
Alameda,2017,4,6.78465239261745,8.053697503311257,0,6.697648781758957,6.285680423357664,7.354558400575597,0.8660254037844387,-0.4999999999999998,7,1.9,11.0,3.0,0.5181818181818182,7.0,0
Alameda,2017,5,8.053697503311257,8.220448066666666,0,6.78465239261745,6.697648781758957,6.58932719924469,0.4999999999999999,-0.8660254037844387,16,0.40375,7.0,11.0,1.9,11.333333333333334,0
Alameda,2017,6,8.220448066666666,9.424833686468649,0,8.053697503311257,6.78465239261745,7.178666225895888,1.2246467991473532e-16,-1.0,15,1.600666666666667,16.0,7.0,0.40375,12.666666666666666,0
Alameda,2017,7,9.424833686468649,10.995213326797384,0,8.220448066666666,8.053697503311257,7.686265987531791,-0.4999999999999998,-0.8660254037844388,35,0.776,15.0,16.0,1.600666666666667,22.0,0
Alameda,2017,8,10.995213326797384,14.347013166666663,1,9.424833686468649,8.220448066666666,8.566326418815525,-0.8660254037844384,-0.5000000000000004,33,7.253636363636364,35.0,15.0,0.776,27.666666666666668,0
Alameda,2017,9,14.347013166666663,16.198726055194804,1,10.995213326797384,9.424833686468649,9.5468316933109,-1.0,-1.8369701987210294e-16,21,0.7571428571428571,33.0,35.0,7.253636363636364,29.666666666666668,0
Alameda,2017,10,16.198726055194804,9.26921058,0,14.347013166666663,10.995213326797384,11.589020059977566,-0.8660254037844386,0.5000000000000001,21,0.5138095238095238,21.0,33.0,0.7571428571428571,25.0,0
Alameda,2017,11,9.26921058,18.01576432686084,1,16.198726055194804,14.347013166666663,13.846984182886285,-0.5000000000000004,0.8660254037844384,3,0.3733333333333333,21.0,21.0,0.5138095238095238,15.0,0
