threshold,precision,recall,f1
0.1,0.36561743341404357,0.9207317073170732,0.5233968804159446
0.11,0.37344913151364767,0.9176829268292683,0.5308641975308642
0.12,0.379746835443038,0.9146341463414634,0.5366726296958855
0.13,0.3893229166666667,0.9115853658536586,0.5456204379562044
0.14,0.39381720430107525,0.8932926829268293,0.5466417910447762
0.15,0.39591836734693875,0.8871951219512195,0.5475070555032926
0.16,0.39805825242718446,0.875,0.5471877979027645
0.17,0.40256045519203415,0.8628048780487805,0.5489815712900097
0.18,0.41021897810218977,0.8567073170731707,0.5547877591312932
0.19,0.4177978883861237,0.8445121951219512,0.5590312815338042
0.2,0.42080745341614906,0.8262195121951219,0.5576131687242798
0.21,0.4274322169059011,0.8170731707317073,0.5612565445026177
0.22,0.4351395730706076,0.8079268292682927,0.5656350053361793
0.23,0.440536013400335,0.801829268292683,0.5686486486486486
0.24,0.44768439108061747,0.7957317073170732,0.5729967069154775
0.25,0.44833625218914186,0.7804878048780488,0.5695216907675195
0.26,0.4551971326164875,0.774390243902439,0.5733634311512416
0.27,0.46238532110091746,0.7682926829268293,0.5773195876288659
0.28,0.46880907372400754,0.7560975609756098,0.5787631271878646
0.29,0.4775828460038986,0.7469512195121951,0.582639714625446
0.3,0.4859437751004016,0.7378048780487805,0.585956416464891
0.31,0.493801652892562,0.7286585365853658,0.5886699507389163
0.32,0.4968152866242038,0.7134146341463414,0.5857321652065082
0.33,0.49782608695652175,0.698170731707317,0.5812182741116751
0.34,0.5011135857461024,0.6859756097560976,0.5791505791505791
0.35,0.503448275862069,0.6676829268292683,0.5740498034076016
0.36,0.5081967213114754,0.6615853658536586,0.5748344370860927
0.37,0.5119617224880383,0.6524390243902439,0.5737265415549598
0.38,0.5182481751824818,0.649390243902439,0.5764546684709067
0.39,0.5251256281407035,0.6371951219512195,0.5757575757575758
0.4,0.5268542199488491,0.6280487804878049,0.5730180806675939
0.41,0.5328083989501312,0.6189024390243902,0.5726375176304654
0.42,0.5320855614973262,0.6067073170731707,0.5669515669515669
0.43,0.5397260273972603,0.600609756097561,0.5685425685425686
0.44,0.5444444444444444,0.5975609756097561,0.5697674418604651
0.45,0.5454545454545454,0.5853658536585366,0.5647058823529412
0.46,0.5497076023391813,0.573170731707317,0.5611940298507463
0.47,0.5508982035928144,0.5609756097560976,0.5558912386706949
0.48,0.5538461538461539,0.5487804878048781,0.5513016845329249
0.49,0.569620253164557,0.5487804878048781,0.5590062111801242
0.5,0.5830618892508144,0.5457317073170732,0.5637795275590551
0.51,0.5986394557823129,0.5365853658536586,0.5659163987138264
0.52,0.6042402826855123,0.5213414634146342,0.5597381342062193
0.53,0.6107142857142858,0.5213414634146342,0.5625
0.54,0.620817843866171,0.5091463414634146,0.559463986599665
0.55,0.6240601503759399,0.5060975609756098,0.5589225589225589
0.56,0.6230769230769231,0.49390243902439024,0.5510204081632653
0.57,0.6254826254826255,0.49390243902439024,0.5519591141396933
0.58,0.6245059288537549,0.4817073170731707,0.5438898450946644
0.59,0.6275303643724697,0.4725609756097561,0.5391304347826087
0.6,0.6333333333333333,0.4634146341463415,0.5352112676056338
0.61,0.6437768240343348,0.4573170731707317,0.5347593582887701
0.62,0.6519823788546255,0.45121951219512196,0.5333333333333333
0.63,0.6515837104072398,0.43902439024390244,0.5245901639344263
0.64,0.6543778801843319,0.4329268292682927,0.5211009174311927
0.65,0.6666666666666666,0.4268292682926829,0.5204460966542751
0.66,0.6666666666666666,0.4146341463414634,0.5112781954887218
0.67,0.6700507614213198,0.4024390243902439,0.5028571428571429
0.68,0.6770833333333334,0.39634146341463417,0.5
0.69,0.6772486772486772,0.3902439024390244,0.4951644100580271
0.7,0.7055555555555556,0.3871951219512195,0.5
0.71,0.7085714285714285,0.3780487804878049,0.49304174950298213
0.72,0.7337278106508875,0.3780487804878049,0.49899396378269617
0.73,0.7469135802469136,0.36890243902439024,0.49387755102040815
0.74,0.7515527950310559,0.36890243902439024,0.4948875255623722
0.75,0.7515527950310559,0.36890243902439024,0.4948875255623722
0.76,0.759493670886076,0.36585365853658536,0.49382716049382713
0.77,0.7777777777777778,0.3628048780487805,0.49480249480249483
0.78,0.7959183673469388,0.3567073170731707,0.4926315789473684
0.79,0.8028169014084507,0.3475609756097561,0.4851063829787234
0.8,0.8308823529411765,0.3445121951219512,0.4870689655172414
0.81,0.8549618320610687,0.34146341463414637,0.4880174291938998
0.82,0.8740157480314961,0.3384146341463415,0.4879120879120879
0.83,0.8823529411764706,0.3201219512195122,0.4697986577181208
0.84,0.8869565217391304,0.31097560975609756,0.4604966139954853
0.85,0.8888888888888888,0.2926829268292683,0.44036697247706424
0.86,0.8867924528301887,0.2865853658536585,0.43317972350230416
0.87,0.8910891089108911,0.27439024390243905,0.4195804195804196
0.88,0.8865979381443299,0.2621951219512195,0.4047058823529412
0.89,0.9052631578947369,0.2621951219512195,0.4066193853427896
0.9,0.9090909090909091,0.24390243902439024,0.38461538461538464
