,importance
fire_count,12.602583885192871
month_cos,5.6439528465271
month_sin,4.751335144042969
fire_rolling_3,4.569622993469238
avg_frp,4.265252590179443
fire_last_1,3.8739659786224365
fire_last_2,3.843815565109253
frp_last_1,3.7315614223480225
